2017-12-12 06:53:36 startup archives unpack
2017-12-12 06:53:36 install libgdbm3:amd64 <none> 1.8.3-13.1
2017-12-12 06:53:36 status half-installed libgdbm3:amd64 1.8.3-13.1
2017-12-12 06:53:36 status unpacked libgdbm3:amd64 1.8.3-13.1
2017-12-12 06:53:36 status unpacked libgdbm3:amd64 1.8.3-13.1
2017-12-12 06:53:36 install libssl1.0.0:amd64 <none> 1.0.1t-1+deb8u7
2017-12-12 06:53:36 status half-installed libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:36 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:36 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:36 install libsqlite3-0:amd64 <none> 3.8.7.1-1+deb8u2
2017-12-12 06:53:36 status half-installed libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-12-12 06:53:36 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-12-12 06:53:36 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-12-12 06:53:36 install openssl:amd64 <none> 1.0.1t-1+deb8u7
2017-12-12 06:53:36 status half-installed openssl:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:36 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:36 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:36 install ca-certificates:all <none> 20141019+deb8u3
2017-12-12 06:53:36 status half-installed ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:36 status unpacked ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:36 status unpacked ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:36 startup packages configure
2017-12-12 06:53:36 configure libgdbm3:amd64 1.8.3-13.1 <none>
2017-12-12 06:53:36 status unpacked libgdbm3:amd64 1.8.3-13.1
2017-12-12 06:53:36 status half-configured libgdbm3:amd64 1.8.3-13.1
2017-12-12 06:53:36 status installed libgdbm3:amd64 1.8.3-13.1
2017-12-12 06:53:36 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2017-12-12 06:53:36 configure libssl1.0.0:amd64 1.0.1t-1+deb8u7 <none>
2017-12-12 06:53:36 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:36 status half-configured libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:37 status installed libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:37 configure libsqlite3-0:amd64 3.8.7.1-1+deb8u2 <none>
2017-12-12 06:53:37 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-12-12 06:53:37 status half-configured libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-12-12 06:53:37 status installed libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2017-12-12 06:53:37 configure openssl:amd64 1.0.1t-1+deb8u7 <none>
2017-12-12 06:53:37 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:37 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:37 status half-configured openssl:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:37 status installed openssl:amd64 1.0.1t-1+deb8u7
2017-12-12 06:53:37 configure ca-certificates:all 20141019+deb8u3 <none>
2017-12-12 06:53:37 status unpacked ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:37 status half-configured ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:43 status installed ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:43 status triggers-pending ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:43 trigproc libc-bin:amd64 2.19-18+deb8u10 <none>
2017-12-12 06:53:43 status half-configured libc-bin:amd64 2.19-18+deb8u10
2017-12-12 06:53:43 status installed libc-bin:amd64 2.19-18+deb8u10
2017-12-12 06:53:43 trigproc ca-certificates:all 20141019+deb8u3 <none>
2017-12-12 06:53:43 status half-configured ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:45 status installed ca-certificates:all 20141019+deb8u3
2017-12-12 06:53:45 startup packages configure
2017-12-12 06:54:07 startup archives unpack
2017-12-12 06:54:07 install libgmp10:amd64 <none> 2:6.0.0+dfsg-6
2017-12-12 06:54:07 status half-installed libgmp10:amd64 2:6.0.0+dfsg-6
2017-12-12 06:54:07 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2017-12-12 06:54:07 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2017-12-12 06:54:07 install libnettle4:amd64 <none> 2.7.1-5+deb8u2
2017-12-12 06:54:07 status half-installed libnettle4:amd64 2.7.1-5+deb8u2
2017-12-12 06:54:07 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2017-12-12 06:54:07 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2017-12-12 06:54:07 install libhogweed2:amd64 <none> 2.7.1-5+deb8u2
2017-12-12 06:54:07 status half-installed libhogweed2:amd64 2.7.1-5+deb8u2
